,env,algo,lr,beta,epsilon,avg_return,total_time,asymptotic_return
0,BeamRider,sgd,0.09411110586084491,0.5986653183647782,0.0008657891655667722,1207.7335984095428,22355.746606826782,1532.6
1,SpaceInvaders,sgd,0.09411110586084491,0.5986653183647782,0.0008657891655667722,408.2181096220662,6289.477112054825,582.0
2,Breakout,sgd,0.09411110586084491,0.5986653183647782,0.0008657891655667722,21.733853904282117,9368.671886444092,59.24
3,Qbert,sgd,0.09411110586084491,0.5986653183647782,0.0008657891655667722,1213.3846693278672,7133.737386226654,2968.5
4,BeamRider,adam,2.3236233306773985e-05,0.5986653183647782,0.0008657891655667722,464.6272577996716,6517.251286029816,492.72
5,SpaceInvaders,adam,2.3236233306773985e-05,0.5986653183647782,0.0008657891655667722,289.97755115130525,6480.55393409729,309.1
6,Breakout,adam,2.3236233306773985e-05,0.5986653183647782,0.0008657891655667722,2.707868598876496,7542.691040754318,3.21
7,Qbert,adam,2.3236233306773985e-05,0.5986653183647782,0.0008657891655667722,358.30359212050985,6999.183306932449,535.25
8,BeamRider,tdprop,2.3236233306773985e-05,0.5986653183647782,0.0008657891655667722,464.6708969302006,10202.082765817642,474.96
9,SpaceInvaders,tdprop,2.3236233306773985e-05,0.5986653183647782,0.0008657891655667722,302.0479129549504,8273.065215110779,295.45
10,Breakout,tdprop,2.3236233306773985e-05,0.5986653183647782,0.0008657891655667722,2.80452396325842,9728.478142261505,2.22
11,Qbert,tdprop,2.3236233306773985e-05,0.5986653183647782,0.0008657891655667722,283.99379524301963,8780.750562429428,368.0
12,BeamRider,sgd,0.03493746574939022,0.15204230515702444,2.8955830632837128e-06,899.7289167412713,6194.165494680405,1208.52
13,SpaceInvaders,sgd,0.03493746574939022,0.15204230515702444,2.8955830632837128e-06,296.86422413793105,6375.397582292557,347.75
14,Breakout,sgd,0.03493746574939022,0.15204230515702444,2.8955830632837128e-06,9.504850457151713,7201.472547531128,20.14
15,Qbert,sgd,0.03493746574939022,0.15204230515702444,2.8955830632837128e-06,570.1225354243356,6610.800036907196,629.5
16,BeamRider,adam,1.741721877129104e-05,0.15204230515702444,2.8955830632837128e-06,445.497341888176,6312.48952794075,432.56
17,SpaceInvaders,adam,1.741721877129104e-05,0.15204230515702444,2.8955830632837128e-06,216.05843124801524,5618.069917678833,189.75
18,Breakout,adam,1.741721877129104e-05,0.15204230515702444,2.8955830632837128e-06,3.9944433010907594,6512.652897119522,3.32
19,Qbert,adam,1.741721877129104e-05,0.15204230515702444,2.8955830632837128e-06,363.1501916354294,4788.223957777023,454.25
20,BeamRider,tdprop,1.741721877129104e-05,0.15204230515702444,2.8955830632837128e-06,712.5343328335832,7373.531002998352,954.48
